COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,,,,,,,,,,,,,,,,,,,,,,,
64,0,4185.128103,4186.666564,4186.153744,4195.897333,4187.692205,4181.025539,4195.384513,4201.025538,4190.769128,4202.051179,4218.461435,4198.461436,4199.999897,4185.128103,361,2045,2045,0,0,2454,132,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4
65,0,4188.717846,4186.666564,4186.666564,4198.974256,4187.179385,4181.025539,4198.461436,4199.487077,4197.948615,4209.743487,4226.666563,4198.974256,4201.025538,4185.128103,851,2046,2044,0,0,2454,132,0,0,3,4,0,0,0,0,0,0,0,0,0,0,4,4
66,0,4181.538359,4188.205026,4185.128103,4194.358872,4187.692205,4185.640923,4192.30759,4197.948615,4200.512718,4209.743487,4223.58964,4189.743487,4200.512718,4184.102462,872,2048,2045,0,0,2454,132,4,0,3,4,0,0,0,0,0,0,0,0,0,0,4,4
67,0,4182.564,4188.205026,4185.128103,4193.846051,4184.615282,4182.05118,4186.153744,4199.487077,4197.435795,4207.692205,4219.487076,4188.205026,4199.487077,4184.615282,424,2045,2045,0,0,2454,132,4,4,3,4,0,0,0,0,0,0,0,0,0,0,4,4
68,0,4188.205026,4187.179385,4187.179385,4195.384513,4182.564,4172.30759,4188.205026,4198.461436,4196.922974,4208.717846,4223.58964,4197.435795,4201.025538,4187.179385,801,2047,2046,0,0,2454,132,4,4,3,4,4,0,0,0,0,0,0,0,0,0,4,4
69,0,4186.153744,4187.179385,4187.692205,4190.256308,4184.615282,4176.410154,4189.743487,4197.948615,4200.512718,4207.179384,4224.615281,4202.051179,4203.07682,4187.179385,785,2046,2045,0,0,2454,173,4,4,3,4,4,4,0,0,0,0,0,0,0,0,4,4
70,0,4186.666564,4188.717846,4188.205026,4187.692205,4185.128103,4183.076821,4188.205026,4197.435795,4197.435795,4199.999897,4218.461435,4197.435795,4198.461436,4185.128103,645,2046,2045,0,0,2454,173,4,4,3,4,4,4,4,0,0,0,0,0,0,0,4,4
71,0,4187.692205,4188.717846,4188.717846,4189.230667,4183.076821,4174.871693,4187.692205,4192.82041,4188.717846,4194.871692,4217.948615,4191.794769,4194.358872,4185.128103,586,2046,2045,0,0,2454,173,4,4,3,4,4,4,4,4,0,0,0,0,0,0,4,4
72,0,4175.384513,4188.717846,4187.179385,4184.615282,4182.05118,4170.256308,4186.666564,4186.153744,4191.794769,4194.871692,4219.999897,4194.871692,4196.410154,4186.153744,116,2047,2044,0,0,2454,173,4,4,3,4,4,4,4,4,1,0,0,0,0,0,4,4
73,0,4165.640924,4187.179385,4186.153744,4183.076821,4183.076821,4174.871693,4188.717846,4183.589641,4195.384513,4193.333231,4218.974256,4196.410154,4197.948615,4184.615282,833,2047,2045,0,0,2454,173,4,4,3,4,4,4,4,4,1,4,0,0,0,0,4,4
74,0,4177.948616,4187.692205,4185.128103,4187.179385,4183.076821,4173.333231,4188.205026,4183.076821,4188.205026,4189.743487,4220.512717,4191.794769,4194.871692,4184.615282,866,2046,2046,0,0,2454,173,4,4,3,4,4,4,4,4,1,4,0,0,4,0,4,4
75,0,4189.230667,4189.230667,4185.640923,4184.615282,4181.025539,4169.743488,4188.205026,4183.589641,4189.230667,4184.102462,4220.512717,4191.281949,4193.846051,4186.666564,244,2047,2047,0,0,2454,216,4,4,3,4,4,4,4,4,1,4,0,0,4,2,4,4
76,0,4187.179385,4186.666564,4190.256308,4183.076821,4180.512718,4174.358872,4194.358872,4185.640923,4196.410154,4187.179385,4218.974256,4198.461436,4197.948615,4188.205026,236,2044,2047,0,0,2454,216,4,4,3,4,4,4,4,4,1,4,3,0,4,2,4,4
77,0,4186.153744,4188.717846,4192.82041,4188.205026,4183.589641,4176.410154,4198.461436,4186.666564,4194.358872,4196.410154,4219.487076,4201.538359,4199.487077,4189.230667,666,2046,2047,0,0,2454,216,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
78,0,4189.230667,4194.358872,4188.717846,4185.128103,4184.615282,4172.820411,4197.948615,4186.153744,4193.333231,4198.461436,4218.461435,4196.410154,4198.974256,4189.743487,866,2044,2047,0,0,2454,216,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
79,0,4186.153744,4191.794769,4185.128103,4176.410154,4182.564,4174.358872,4195.384513,4185.128103,4198.974256,4193.846051,4215.897333,4191.281949,4198.974256,4188.717846,244,2043,2047,0,0,2454,216,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
80,0,4172.820411,4187.179385,4185.640923,4175.384513,4181.538359,4175.384513,4188.717846,4181.538359,4195.384513,4185.128103,4215.384512,4187.179385,4191.281949,4184.102462,236,2044,2046,0,0,2454,258,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
81,0,4162.564001,4193.333231,4185.640923,4185.128103,4184.615282,4171.79477,4183.076821,4180.512718,4190.769128,4183.589641,4215.384512,4183.589641,4188.717846,4182.564,666,2043,2047,0,0,2454,258,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
82,0,4174.358872,4201.025538,4187.179385,4190.769128,4187.692205,4175.384513,4186.666564,4186.153744,4197.435795,4196.410154,4215.897333,4189.230667,4199.999897,4185.128103,866,2042,2047,0,0,2454,258,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
83,0,4190.769128,4200.512718,4188.717846,4186.666564,4186.153744,4178.974257,4189.230667,4188.717846,4200.512718,4204.102461,4217.435794,4197.435795,4207.179384,4187.179385,244,2042,2048,0,0,2454,258,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
84,0,4186.666564,4194.871692,4186.153744,4181.538359,4183.589641,4174.358872,4187.692205,4184.615282,4191.281949,4195.384513,4215.897333,4198.974256,4198.461436,4187.692205,236,2040,2049,0,0,2454,258,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
85,0,4182.564,4192.82041,4187.179385,4182.05118,4184.102462,4176.410154,4188.717846,4183.589641,4189.743487,4192.82041,4215.384512,4196.922974,4194.871692,4186.666564,666,2040,2049,0,0,2454,301,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
86,0,4182.05118,4196.410154,4191.794769,4184.102462,4187.179385,4181.538359,4185.128103,4187.179385,4197.435795,4197.948615,4216.410153,4192.82041,4201.025538,4186.666564,866,2040,2049,0,0,2454,301,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
87,0,4174.871693,4198.461436,4189.230667,4184.615282,4184.102462,4172.30759,4181.025539,4186.153744,4192.82041,4195.384513,4213.33323,4186.153744,4195.384513,4185.640923,244,2040,2049,0,0,2454,301,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
88,0,4175.384513,4197.435795,4191.281949,4185.128103,4174.358872,4164.102462,4182.564,4182.05118,4186.666564,4193.333231,4211.794769,4188.205026,4187.179385,4184.102462,236,2039,2048,0,0,2454,301,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
