COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,,,,,,,,,,,,,,,,,,,,,,,
111,0,4357.435791,4348.205022,4294.358869,4351.794765,4344.615278,4349.230663,4314.871689,4344.102458,4249.230665,4326.15374,4213.846051,4298.461433,4290.769126,4273.333229,241,2063,2041,0,0,2407,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,4364.102457,4345.640919,4290.769126,4347.179381,4347.179381,4353.846047,4319.999894,4349.230663,4249.230665,4331.281945,4213.33323,4292.307587,4293.333228,4279.999895,223,2063,2041,0,0,2407,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,4360.512714,4342.051176,4291.281946,4348.717842,4351.281945,4355.384509,4315.89733,4350.256304,4250.769127,4336.41015,4215.384512,4293.846049,4294.358869,4277.948613,644,2060,2041,0,0,2407,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,4356.41015,4343.589637,4294.358869,4355.384509,4352.820406,4355.897329,4309.230664,4347.179381,4250.769127,4331.794766,4216.922974,4292.307587,4295.897331,4268.717844,869,2058,2040,0,0,2407,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,4348.717842,4345.128099,4296.410151,4353.846047,4344.102458,4348.717842,4306.666561,4346.66656,4248.717845,4325.128099,4213.846051,4292.307587,4293.333228,4267.692203,241,2058,2041,0,0,2407,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,4341.025535,4342.051176,4293.333228,4344.615278,4335.384509,4339.999894,4308.205023,4343.076817,4248.205024,4320.512715,4214.871692,4294.358869,4285.1281,4269.230665,223,2054,2041,0,0,2407,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,4343.589637,4340.512714,4289.743485,4339.487073,4338.461432,4339.999894,4304.102459,4337.435791,4247.692204,4315.89733,4216.922974,4286.666562,4284.61528,4265.640921,644,2054,2042,0,0,2407,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,4340.512714,4336.41015,4290.769126,4335.384509,4337.948612,4338.974253,4297.948613,4332.307586,4246.153742,4309.230664,4206.666564,4278.461434,4280.512716,4264.10246,869,2050,2045,0,0,2407,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,4331.281945,4328.717843,4290.256305,4329.230663,4328.205022,4333.846048,4301.025536,4327.179381,4246.153742,4302.051177,4197.948615,4275.897331,4263.076819,4265.128101,241,2047,2046,0,0,2407,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,4330.256304,4328.205022,4291.281946,4329.230663,4330.256304,4335.384509,4310.256305,4330.256304,4247.179383,4301.538356,4204.615282,4276.410152,4260.512716,4265.640921,223,2047,2045,0,0,2407,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,4331.794766,4335.384509,4294.358869,4338.461432,4336.41015,4341.025535,4312.307587,4339.999894,4249.230665,4305.1281,4208.717846,4279.487075,4272.820408,4266.666562,644,2046,2045,0,0,2407,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,4329.230663,4334.871689,4288.717844,4335.384509,4329.743484,4338.461432,4309.230664,4339.999894,4249.230665,4301.025536,4200.512718,4278.461434,4269.743485,4264.10246,869,2044,2047,0,0,2407,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,4326.15374,4328.205022,4282.563998,4326.15374,4326.666561,4330.256304,4306.666561,4330.769125,4246.153742,4294.87169,4197.948615,4273.846049,4258.461434,4261.025537,241,2041,2047,0,0,2407,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,4323.076817,4325.128099,4285.1281,4323.589638,4327.692202,4324.102458,4301.025536,4329.743484,4245.640922,4296.922972,4202.564,4273.846049,4262.051178,4263.589639,223,2041,2046,0,0,2407,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,4324.102458,4326.15374,4286.153741,4324.102458,4319.999894,4318.974253,4295.38451,4333.846048,4247.179383,4298.974254,4208.717846,4277.948613,4272.307588,4264.61528,644,2040,2047,0,0,2407,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,4327.692202,4326.15374,4282.051177,4323.589638,4317.948612,4314.871689,4294.87169,4333.333227,4248.205024,4298.974254,4214.358871,4278.461434,4277.948613,4265.128101,869,2041,2046,0,0,2407,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,4321.025535,4325.128099,4281.538357,4317.435792,4319.999894,4313.846048,4293.846049,4328.717843,4248.205024,4294.358869,4213.33323,4273.846049,4273.846049,4265.640921,241,2039,2048,0,0,2407,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,4317.948612,4326.15374,4283.589639,4314.358869,4317.948612,4315.38451,4293.846049,4327.179381,4248.205024,4290.769126,4210.769128,4271.794767,4273.333229,4265.128101,223,2039,2048,0,0,2407,844,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4
0,0,4328.717843,4328.205022,4284.102459,4320.512715,4321.025535,4320.512715,4297.435792,4333.846048,4248.717845,4300.512715,4216.410153,4275.384511,4285.1281,4264.61528,347,2040,2049,0,0,2407,844,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4
1,0,4326.15374,4327.692202,4283.589639,4320.512715,4322.051176,4321.538356,4297.435792,4338.461432,4248.205024,4304.615279,4215.384512,4275.897331,4283.076818,4264.10246,844,2040,2051,0,0,2407,844,0,0,3,4,0,0,0,0,0,0,0,0,0,0,4,4
2,0,4314.871689,4323.589638,4279.487075,4312.307587,4316.410151,4319.999894,4298.974254,4336.41015,4247.692204,4296.922972,4205.640923,4267.692203,4267.179383,4263.589639,873,2040,2050,0,0,2407,844,4,0,3,4,0,0,0,0,0,0,0,0,0,0,4,4
3,0,4309.230664,4322.563997,4281.025536,4307.692202,4316.922971,4322.051176,4302.563997,4335.89733,4247.692204,4294.87169,4205.128102,4261.538357,4261.025537,4263.076819,409,2042,2049,0,0,2407,887,4,4,3,4,0,0,0,0,0,0,0,0,0,0,4,4
4,0,4309.230664,4324.615279,4282.563998,4310.769125,4326.666561,4327.179381,4301.538356,4342.563996,4247.692204,4301.025536,4207.692205,4265.640921,4265.128101,4263.076819,791,2041,2049,0,0,2407,887,4,4,3,4,4,0,0,0,0,0,0,0,0,0,4,4
5,0,4313.846048,4325.64092,4276.922972,4313.333228,4326.15374,4324.615279,4295.38451,4345.640919,4247.179383,4298.461433,4209.230666,4273.333229,4268.717844,4264.10246,786,2046,2048,0,0,2407,887,4,4,3,4,4,4,0,0,0,0,0,0,0,0,4,4
6,0,4323.589638,4326.15374,4277.435793,4309.743484,4315.89733,4311.794766,4292.307587,4336.922971,4246.153742,4294.87169,4212.82041,4275.384511,4267.692203,4265.128101,610,2047,2048,0,0,2407,887,4,4,3,4,4,4,4,0,0,0,0,0,0,0,4,4
7,0,4323.076817,4318.461433,4277.948613,4301.025536,4307.692202,4299.999895,4290.769126,4330.256304,4247.692204,4295.38451,4210.256307,4271.794767,4265.640921,4263.076819,599,2047,2047,0,0,2407,887,4,4,3,4,4,4,4,4,0,0,0,0,0,0,4,4
8,0,4303.076818,4309.743484,4269.230665,4295.897331,4299.999895,4293.846049,4287.692203,4326.15374,4247.692204,4287.179382,4202.564,4264.61528,4259.999896,4264.10246,117,2047,2047,0,0,2407,929,4,4,3,4,4,4,4,4,1,0,0,0,0,0,4,4
9,0,4283.076818,4312.820407,4264.61528,4293.333228,4294.358869,4291.794767,4288.717844,4316.922971,4238.461435,4279.487075,4200.512718,4257.435793,4253.84605,4262.051178,838,2049,2048,0,0,2407,929,4,4,3,4,4,4,4,4,1,4,0,0,0,0,4,4
10,0,4275.384511,4308.717843,4267.692203,4281.538357,4292.307587,4293.846049,4291.281946,4309.743484,4233.84605,4276.410152,4203.589641,4255.384511,4246.153742,4253.333229,869,2049,2050,0,0,2407,929,4,4,3,4,4,4,4,4,1,4,0,0,4,0,4,4
11,0,4282.051177,4300.512715,4266.153742,4275.897331,4293.333228,4295.897331,4294.358869,4315.38451,4242.563999,4276.410152,4202.051179,4259.487075,4243.58964,4254.871691,241,2049,2050,0,0,2407,929,4,4,3,4,4,4,4,4,1,4,0,0,4,2,4,4
12,0,4297.435792,4308.205023,4264.61528,4288.717844,4294.87169,4296.922972,4295.38451,4322.563997,4247.692204,4284.61528,4203.589641,4264.61528,4256.922973,4265.128101,223,2049,2049,0,0,2407,929,4,4,3,4,4,4,4,4,1,4,3,0,4,2,4,4
13,0,4305.64092,4316.922971,4266.153742,4291.794767,4294.358869,4296.410151,4293.333228,4320.512715,4246.153742,4294.358869,4203.589641,4264.61528,4266.666562,4267.179383,644,2049,2050,0,0,2407,929,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
14,0,4295.897331,4309.230664,4262.563998,4277.948613,4290.769126,4297.948613,4295.897331,4313.333228,4243.58964,4285.1281,4201.538359,4258.974255,4251.281947,4261.025537,869,2048,2050,0,0,2407,972,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
15,0,4272.820408,4301.538356,4257.948614,4273.333229,4290.256305,4298.974254,4296.410151,4303.076818,4238.461435,4268.717844,4201.025538,4251.281947,4231.281948,4254.871691,241,2047,2048,0,0,2407,972,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
16,0,4261.538357,4301.025536,4261.025537,4279.999895,4292.307587,4294.87169,4287.692203,4294.87169,4233.33323,4270.769126,4200.512718,4247.692204,4237.435794,4248.717845,0,2046,2048,0,0,2407,972,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
17,0,4270.769126,4303.589638,4261.538357,4277.948613,4285.1281,4291.281946,4279.999895,4293.846049,4235.897332,4276.922972,4200.512718,4248.205024,4250.769127,4248.205024,0,2046,2048,0,0,2407,972,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
18,0,4278.461434,4307.179382,4258.974255,4275.897331,4281.538357,4292.307587,4281.025536,4295.38451,4236.922973,4273.846049,4200.512718,4249.743486,4243.076819,4252.820409,0,2046,2049,0,0,2407,972,4,4,3,4,4,4,4,4,1,4,3,4,4,2,4,4
