COUNTER,INTERPOL RAW_CQ,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,,,,,,,,,,,,,,,,,,,,,,,
3,0,3965.128108,4574.358863,3922.564007,4215.384512,4182.05118,4542.563991,4575.384504,4642.563989,3940.512724,4226.153743,4044.615286,4082.564003,4422.051174,4749.743474,462,1684,1692,0,0,13375,350,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
3,0,3971.281954,4559.999888,3921.538366,4216.922974,4152.307591,4543.076812,4561.025529,4646.666553,3942.051186,4242.051178,4058.461439,4088.205028,4388.717841,4732.820397,461,1684,1694,0,0,13376,373,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
3,0,4002.051184,4594.358862,3923.076827,4214.871692,4216.410153,4544.102453,4575.384504,4648.717835,3943.589647,4257.435793,4073.333234,4088.717849,4288.717844,4759.999884,463,1684,1693,0,0,13377,387,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
3,0,3982.564005,4552.820401,3924.102468,4215.384512,4171.281949,4538.974248,4565.128093,4644.615271,3941.025545,4230.769127,4036.922978,4087.692208,4322.563997,4717.435782,464,1684,1694,0,0,13378,406,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
3,0,4064.102465,4617.948605,3925.64093,4215.897333,4235.384512,4541.02553,4613.846041,4647.179374,3955.384519,4272.307588,4087.179387,4102.051182,4405.128097,4779.999883,464,1681,1693,0,0,13379,429,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
4,0,4236.410153,4727.179372,3922.564007,4217.435794,4132.820412,4549.743478,4581.53835,4644.102451,3935.384519,4278.461434,4034.358876,4081.538362,4654.871681,4903.589624,476,1689,1695,0,0,13369,323,4,4,0,0,4,0,0,0,0,0,0,0,0,0,4,4
4,0,4037.435799,4539.487068,3917.948622,4217.435794,4142.564001,4552.307581,4533.846043,4646.666553,3926.666571,4173.846052,4002.051184,4073.846054,4367.692201,4747.692192,475,1684,1690,0,0,13370,351,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
4,0,3993.846056,4558.974247,3917.435802,4217.435794,4184.615282,4541.53835,4564.615273,4643.58963,3921.538366,4207.179384,4032.307594,4076.922977,4388.205021,4773.333217,474,1684,1694,0,0,13371,352,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
4,0,3944.102468,4534.358863,3925.128109,4215.384512,4157.948616,4542.051171,4541.53835,4643.58963,3939.999904,4183.076821,4015.897338,4085.128105,4395.384508,4753.846038,474,1684,1693,0,0,13372,370,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
4,0,4017.94862,4606.666554,3927.179391,4216.410153,4196.922974,4543.589632,4595.897324,4645.128092,3934.871699,4252.820409,4050.256311,4084.615285,4433.333225,4784.102447,479,1683,1692,0,0,13373,372,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
4,0,4001.538364,4568.205016,3924.102468,4215.897333,4197.948615,4541.02553,4576.922965,4644.615271,3944.102468,4235.897332,4030.769132,4079.9999,4422.563994,4780.512704,478,1684,1693,0,0,13374,387,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
4,0,3950.256314,4567.692196,3921.538366,4215.897333,4173.846052,4539.999889,4567.179375,4644.615271,3937.948622,4213.846051,4024.102466,4081.538362,4411.794764,4769.743473,478,1683,1693,0,0,13375,402,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
4,0,3966.153749,4546.153735,3923.076827,4216.410153,4187.692205,4541.02553,4543.076812,4641.025528,3938.461442,4223.07682,4042.564004,4084.102464,4368.717842,4730.256295,478,1683,1694,0,0,13376,373,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
4,0,3971.281954,4565.128093,3922.564007,4213.846051,4167.692206,4541.02553,4551.79476,4644.615271,3935.89734,4230.769127,4046.666568,4084.102464,4263.589639,4721.025526,480,1683,1694,0,0,13377,387,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
4,0,4007.179389,4581.025529,3925.128109,4215.384512,4211.794769,4540.512709,4584.615273,4643.58963,3945.640929,4233.33323,4053.333234,4091.281951,4342.051176,4722.563987,476,1684,1695,0,0,13378,406,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
4,0,4038.46144,4595.897324,3926.15375,4218.461435,4189.230667,4542.051171,4596.922965,4647.179374,3948.717852,4241.025537,4068.717849,4098.974259,4391.794764,4777.435781,477,1682,1693,0,0,13379,429,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
5,0,4237.435794,4738.461423,3923.076827,4217.948615,4168.205026,4552.820401,4580.512709,4644.102451,3923.076827,4284.102459,4030.769132,4078.461439,4649.743476,4874.358855,0,1688,1694,0,0,13369,323,4,4,0,0,4,0,0,0,0,0,0,0,0,0,4,4
5,0,4058.97426,4567.179375,3919.487084,4217.435794,4119.487079,4550.256299,4545.128094,4644.615271,3918.461443,4189.230667,4022.564004,4069.23067,4391.794764,4769.230653,0,1683,1691,0,0,13370,351,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
5,0,4013.846056,4564.102452,3918.461443,4215.897333,4197.435795,4541.53835,4573.846042,4642.051169,3924.102468,4219.487076,4059.999901,4078.974259,4402.051174,4775.897319,0,1684,1693,0,0,13371,352,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
5,0,3911.794776,4527.692197,3922.564007,4216.410153,4143.076822,4542.563991,4538.974248,4649.743476,3930.769135,4186.153744,4012.307594,4080.512721,4411.794764,4721.538346,0,1684,1695,0,0,13372,370,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
5,0,4051.794773,4610.256298,3924.102468,4215.384512,4229.743486,4542.563991,4599.487067,4643.07681,3929.230673,4245.640922,4063.076824,4085.640926,4446.153737,4803.589626,0,1683,1693,0,0,13373,372,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
5,0,3981.025544,4546.666555,3921.538366,4217.435794,4199.487077,4542.563991,4557.435786,4647.179374,3931.281955,4238.974255,4017.94862,4080.512721,4409.230661,4811.794754,0,1684,1694,0,0,13374,387,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
5,0,3951.281955,4555.384504,3922.051186,4215.897333,4176.410154,4539.487068,4555.384504,4644.615271,3940.512724,4214.358871,4010.769133,4085.128105,4388.717841,4728.205013,0,1685,1692,0,0,13375,402,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
5,0,3965.128108,4530.256299,3921.025545,4214.871692,4208.205025,4540.512709,4542.051171,4643.58963,3940.512724,4207.692205,4032.307594,4083.076823,4355.384509,4732.307577,0,1683,1694,0,0,13376,373,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
5,0,3974.358877,4546.153735,3921.538366,4214.871692,4141.02554,4544.615273,4543.076812,4648.205015,3938.974263,4216.410153,4041.025542,4081.538362,4255.384511,4734.358859,0,1683,1694,0,0,13377,387,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
5,0,4067.692208,4611.281939,3925.128109,4216.922974,4244.10246,4542.051171,4603.589631,4644.102451,3946.15375,4258.461434,4076.922977,4092.307592,4373.846047,4776.41014,0,1683,1694,0,0,13378,406,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
5,0,4023.076825,4599.999888,3930.256314,4217.435794,4198.974256,4539.487068,4604.102452,4646.666553,3951.281955,4250.256306,4073.846054,4098.461438,4399.999892,4815.897318,0,1681,1691,0,0,13379,429,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
6,0,4142.564001,4651.281938,3918.461443,4216.922974,4078.974259,4548.717837,4512.307582,4640.512707,3905.64093,4164.102462,3947.692211,4068.205029,4556.922965,4814.871677,420,1690,1694,0,0,13369,323,4,4,0,0,4,0,4,0,0,0,0,0,0,0,4,4
6,0,4041.025542,4553.846042,3918.461443,4215.897333,4079.9999,4548.717837,4537.948607,4640.512707,3911.794776,4159.487078,3994.871697,4070.769131,4380.512713,4759.999884,414,1684,1691,0,0,13370,351,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
6,0,4004.102466,4555.897324,3917.948622,4216.922974,4147.692206,4547.692196,4565.128093,4645.128092,3922.564007,4203.07682,4049.23067,4078.461439,4396.410149,4722.563987,413,1683,1694,0,0,13371,352,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
6,0,3956.92298,4514.358864,3919.487084,4217.435794,4142.051181,4542.051171,4534.358863,4647.692194,3924.615289,4170.256308,3996.410159,4078.461439,4416.410148,4716.922962,413,1685,1692,0,0,13372,370,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
6,0,4006.153748,4559.487068,3924.615289,4215.897333,4197.948615,4542.563991,4562.563991,4646.666553,3925.128109,4199.999897,4013.846056,4082.564003,4393.846046,4728.205013,416,1682,1692,0,0,13373,372,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
6,0,3990.256313,4516.922966,3922.564007,4216.922974,4163.589642,4542.051171,4535.897325,4643.07681,3926.666571,4190.769128,3987.17939,4084.615285,4373.846047,4727.692192,416,1685,1693,0,0,13374,387,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
6,0,3963.589647,4546.666555,3924.102468,4215.897333,4182.564,4542.563991,4550.769119,4640.512707,3941.025545,4221.538358,4017.435799,4083.589644,4388.717841,4719.999885,417,1683,1693,0,0,13375,402,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
6,0,3967.17939,4542.051171,3920.512725,4215.384512,4170.256308,4541.53835,4558.974247,4649.230656,3943.076827,4221.538358,4050.256311,4086.153746,4371.794765,4725.12809,417,1682,1695,0,0,13376,425,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
6,0,4031.281953,4584.102452,3924.102468,4215.384512,4197.948615,4548.205017,4572.307581,4648.205015,3946.66657,4236.922973,4072.820413,4087.179387,4296.922972,4787.692191,418,1683,1693,0,0,13377,387,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
6,0,4048.71785,4576.922965,3922.564007,4216.410153,4210.769128,4541.53835,4569.230657,4644.615271,3939.487083,4234.871691,4044.102465,4085.640926,4335.89733,4781.538345,419,1684,1694,0,0,13378,406,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
6,0,4028.71785,4611.281939,3931.281955,4215.384512,4245.640922,4539.487068,4609.230657,4647.692194,3952.307596,4267.179383,4077.435798,4097.435797,4405.128097,4815.897318,419,1681,1692,0,0,13379,429,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
7,0,4132.307591,4617.435785,3915.89734,4217.948615,4034.358876,4549.230658,4492.820403,4636.410143,3914.358879,4138.461437,3929.743494,4068.717849,4528.717838,4811.794754,0,1690,1692,0,0,13369,323,4,4,0,0,4,0,4,0,0,0,0,0,0,0,4,4
7,0,4030.256312,4547.179376,3919.487084,4216.410153,4108.717848,4551.79476,4538.974248,4641.025528,3917.948622,4164.102462,3994.871697,4077.948618,4378.461431,4756.922961,0,1683,1690,0,0,13370,351,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
7,0,4007.179389,4560.512709,3917.435802,4217.435794,4146.153745,4550.769119,4563.589632,4644.615271,3924.102468,4194.358872,4037.948619,4080.512721,4401.025533,4753.846038,0,1683,1693,0,0,13371,352,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
7,0,4007.179389,4529.230658,3921.025545,4216.410153,4151.79477,4542.051171,4548.205017,4643.07681,3928.717853,4188.205026,4002.051184,4085.128105,4435.384507,4739.999884,0,1685,1694,0,0,13372,370,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
7,0,4011.794774,4570.769119,3927.692212,4215.897333,4193.333231,4543.076812,4567.692196,4650.256297,3929.743494,4220.512717,4010.256312,4084.615285,4390.769123,4720.512705,0,1681,1693,0,0,13373,372,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
7,0,4001.538364,4536.410145,3926.666571,4214.871692,4165.640924,4542.563991,4558.461427,4641.025528,3937.435801,4183.589641,3998.461441,4084.615285,4386.153739,4695.897321,0,1684,1693,0,0,13374,387,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
7,0,3975.897339,4558.461427,3924.615289,4215.897333,4186.153744,4543.589632,4567.692196,4641.025528,3942.564006,4242.563999,4035.897337,4084.102464,4421.025533,4771.281935,0,1684,1694,0,0,13375,402,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
7,0,3959.999903,4553.333222,3925.64093,4215.897333,4163.589642,4541.02553,4565.640914,4647.179374,3942.564006,4242.563999,4053.333234,4086.153746,4377.948611,4690.256296,0,1684,1694,0,0,13376,425,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
7,0,4063.076824,4628.717836,3927.692212,4214.871692,4269.743485,4544.102453,4602.56399,4643.58963,3948.717852,4266.153742,4101.025541,4091.794772,4337.435791,4814.358857,0,1683,1693,0,0,13377,437,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
7,0,3995.384518,4553.333222,3925.128109,4215.384512,4174.358872,4541.02553,4555.384504,4644.102451,3942.051186,4222.051179,4025.640927,4086.153746,4306.666561,4745.64091,0,1684,1694,0,0,13378,406,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
7,0,4053.333234,4613.333221,3926.666571,4216.410153,4245.640922,4541.53835,4602.56399,4647.179374,3950.769134,4264.10246,4070.256311,4094.358874,4399.999892,4781.025524,0,1682,1691,0,0,13379,429,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
8,0,4221.025538,4696.410142,3921.025545,4217.948615,4088.717849,4552.820401,4551.79476,4640.512707,3934.871699,4238.974255,4007.179389,4079.48708,4602.05117,4857.435779,99,1691,1693,0,0,13369,376,4,4,0,0,4,0,4,0,1,0,0,0,0,0,4,4
8,0,4025.128107,4551.28194,3919.487084,4217.435794,4121.538361,4549.230658,4529.743479,4644.102451,3916.410161,4170.256308,4005.128107,4073.846054,4376.410149,4769.743473,99,1684,1692,0,0,13370,351,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
8,0,4021.538363,4588.205016,3920.512725,4216.410153,4175.897334,4544.615273,4590.256298,4641.538348,3928.205032,4227.692204,4070.256311,4084.102464,4435.897327,4839.999882,99,1683,1694,0,0,13371,352,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
8,0,3953.846057,4523.076812,3920.512725,4216.922974,4135.897335,4542.051171,4544.615273,4643.07681,3929.743494,4190.256308,3999.999902,4085.640926,4434.871686,4730.769115,100,1685,1694,0,0,13372,370,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
8,0,4039.487081,4603.589631,3926.666571,4215.384512,4224.615281,4543.076812,4593.846042,4643.07681,3930.769135,4260.512716,4042.051183,4087.692208,4431.281943,4765.128089,100,1683,1692,0,0,13373,372,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
8,0,3991.794774,4560.512709,3928.205032,4216.410153,4189.743487,4542.563991,4576.922965,4648.717835,3943.589647,4230.769127,4029.743491,4082.051182,4415.897328,4753.846038,100,1685,1694,0,0,13374,387,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
8,0,3976.410159,4574.358863,3925.128109,4215.897333,4185.128103,4541.53835,4577.435786,4645.640912,3943.589647,4251.281947,4044.102465,4086.666567,4438.46143,4781.538345,100,1683,1694,0,0,13375,402,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
8,0,3999.999902,4571.79476,3927.692212,4215.384512,4222.051179,4541.02553,4573.846042,4643.07681,3943.589647,4255.897332,4048.71785,4083.589644,4388.205021,4723.589628,100,1682,1693,0,0,13376,425,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
